id,gender,age_o,dec_o,field,imprelig,from,income,go_out,sports,gaming,theater,music,shopping,clubbing
36,0,30,1,Law,1,Texas,"37,754.00",1,1,5,9,7,1,7
37,0,27,0,Law,1,Texas,"37,754.00",1,1,5,9,7,1,7
38,0,28,1,Law,1,Texas,"37,754.00",1,1,5,9,7,1,7
39,0,24,0,Law,1,Texas,"37,754.00",1,1,5,9,7,1,7
40,0,27,0,Law,1,Bowdoin College,"86,340.00",1,7,6,6,7,8,8
41,0,22,0,Law,1,Bowdoin College,"86,340.00",1,7,6,6,7,8,8
42,0,22,1,Law,1,Bowdoin College,"86,340.00",1,7,6,6,7,8,8
43,0,23,1,Law,1,Bowdoin College,"86,340.00",1,7,6,6,7,8,8
44,0,24,0,Law,1,Bowdoin College,"86,340.00",1,7,6,6,7,8,8
45,0,25,0,Law,1,Bowdoin College,"86,340.00",1,7,6,6,7,8,8
46,0,30,0,Law,1,Bowdoin College,"86,340.00",1,7,6,6,7,8,8
47,0,27,0,Law,1,Bowdoin College,"86,340.00",1,7,6,6,7,8,8
48,0,28,1,Law,1,Bowdoin College,"86,340.00",1,7,6,6,7,8,8
49,0,24,0,Law,1,Bowdoin College,"86,340.00",1,7,6,6,7,8,8
50,0,27,0,law,1,MD,"60,304.00",1,10,2,5,4,1,6
51,0,22,0,law,1,MD,"60,304.00",1,10,2,5,4,1,6
52,0,22,1,law,1,MD,"60,304.00",1,10,2,5,4,1,6
53,0,23,1,law,1,MD,"60,304.00",1,10,2,5,4,1,6
54,0,24,1,law,1,MD,"60,304.00",1,10,2,5,4,1,6
55,0,25,1,law,1,MD,"60,304.00",1,10,2,5,4,1,6
56,0,30,0,law,1,MD,"60,304.00",1,10,2,5,4,1,6
57,0,27,0,law,1,MD,"60,304.00",1,10,2,5,4,1,6
58,0,28,1,law,1,MD,"60,304.00",1,10,2,5,4,1,6
59,0,24,0,law,1,MD,"60,304.00",1,10,2,5,4,1,6
60,0,27,0,Law,4,Southern California,"54,620.00",1,5,3,10,10,10,8
61,0,22,1,Law,4,Southern California,"54,620.00",1,5,3,10,10,10,8
62,0,22,1,Law,4,Southern California,"54,620.00",1,5,3,10,10,10,8
63,0,23,1,Law,4,Southern California,"54,620.00",1,5,3,10,10,10,8
64,0,24,1,Law,4,Southern California,"54,620.00",1,5,3,10,10,10,8
65,0,25,1,Law,4,Southern California,"54,620.00",1,5,3,10,10,10,8
66,0,30,0,Law,4,Southern California,"54,620.00",1,5,3,10,10,10,8
67,0,27,1,Law,4,Southern California,"54,620.00",1,5,3,10,10,10,8
68,0,28,1,Law,4,Southern California,"54,620.00",1,5,3,10,10,10,8
69,0,24,0,Law,4,Southern California,"54,620.00",1,5,3,10,10,10,8
70,0,27,0,Masters in Public Administration,1,"London, England",,1,2,2,9,6,8,10
71,0,22,1,Masters in Public Administration,1,"London, England",,1,2,2,9,6,8,10
72,0,22,1,Masters in Public Administration,1,"London, England",,1,2,2,9,6,8,10
73,0,23,1,Masters in Public Administration,1,"London, England",,1,2,2,9,6,8,10
74,0,24,1,Masters in Public Administration,1,"London, England",,1,2,2,9,6,8,10
75,0,25,1,Masters in Public Administration,1,"London, England",,1,2,2,9,6,8,10
76,0,30,0,Masters in Public Administration,1,"London, England",,1,2,2,9,6,8,10
77,0,27,1,Masters in Public Administration,1,"London, England",,1,2,2,9,6,8,10
78,0,28,1,Masters in Public Administration,1,"London, England",,1,2,2,9,6,8,10
79,0,24,1,Masters in Public Administration,1,"London, England",,1,2,2,9,6,8,10
80,0,27,0,Masters in Public Administration,1,"Palm Springs, California",,1,4,2,10,9,8,10
81,0,22,1,Masters in Public Administration,1,"Palm Springs, California",,1,4,2,10,9,8,10
82,0,22,1,Masters in Public Administration,1,"Palm Springs, California",,1,4,2,10,9,8,10
83,0,23,1,Masters in Public Administration,1,"Palm Springs, California",,1,4,2,10,9,8,10
84,0,24,1,Masters in Public Administration,1,"Palm Springs, California",,1,4,2,10,9,8,10
85,0,25,1,Masters in Public Administration,1,"Palm Springs, California",,1,4,2,10,9,8,10
86,0,30,1,Masters in Public Administration,1,"Palm Springs, California",,1,4,2,10,9,8,10
87,0,27,0,Masters in Public Administration,1,"Palm Springs, California",,1,4,2,10,9,8,10
88,0,28,1,Masters in Public Administration,1,"Palm Springs, California",,1,4,2,10,9,8,10
89,0,24,0,Masters in Public Administration,1,"Palm Springs, California",,1,4,2,10,9,8,10
90,0,27,0,Masters of Social Work&Education,4,94115,"48,652.00",1,9,1,6,8,7,7
91,0,22,0,Masters of Social Work&Education,4,94115,"48,652.00",1,9,1,6,8,7,7
92,0,22,1,Masters of Social Work&Education,4,94115,"48,652.00",1,9,1,6,8,7,7
93,0,23,1,Masters of Social Work&Education,4,94115,"48,652.00",1,9,1,6,8,7,7
94,0,24,1,Masters of Social Work&Education,4,94115,"48,652.00",1,9,1,6,8,7,7
95,0,25,0,Masters of Social Work&Education,4,94115,"48,652.00",1,9,1,6,8,7,7
96,0,30,0,Masters of Social Work&Education,4,94115,"48,652.00",1,9,1,6,8,7,7
97,0,27,0,Masters of Social Work&Education,4,94115,"48,652.00",1,9,1,6,8,7,7
98,0,28,1,Masters of Social Work&Education,4,94115,"48,652.00",1,9,1,6,8,7,7
99,0,24,0,Masters of Social Work&Education,4,94115,"48,652.00",1,9,1,6,8,7,7
100,1,21,1,Finance,3,Argentina,,4,8,5,4,8,5,4
101,1,24,0,Finance,3,Argentina,,4,8,5,4,8,5,4
102,1,25,0,Finance,3,Argentina,,4,8,5,4,8,5,4
103,1,23,0,Finance,3,Argentina,,4,8,5,4,8,5,4
104,1,21,0,Finance,3,Argentina,,4,8,5,4,8,5,4
105,1,23,1,Finance,3,Argentina,,4,8,5,4,8,5,4
106,1,22,0,Finance,3,Argentina,,4,8,5,4,8,5,4
107,1,25,1,Finance,3,Argentina,,4,8,5,4,8,5,4
108,1,26,1,Finance,3,Argentina,,4,8,5,4,8,5,4
109,1,26,0,Finance,3,Argentina,,4,8,5,4,8,5,4
110,1,21,1,Law,1,England,"29,237.00",1,9,3,4,9,5,5
111,1,24,0,Law,1,England,"29,237.00",1,9,3,4,9,5,5
112,1,25,0,Law,1,England,"29,237.00",1,9,3,4,9,5,5
113,1,23,0,Law,1,England,"29,237.00",1,9,3,4,9,5,5
114,1,21,0,Law,1,England,"29,237.00",1,9,3,4,9,5,5
115,1,23,1,Law,1,England,"29,237.00",1,9,3,4,9,5,5
116,1,22,0,Law,1,England,"29,237.00",1,9,3,4,9,5,5
117,1,25,1,Law,1,England,"29,237.00",1,9,3,4,9,5,5
118,1,26,1,Law,1,England,"29,237.00",1,9,3,4,9,5,5
119,1,26,0,Law,1,England,"29,237.00",1,9,3,4,9,5,5
120,1,21,1,Law,5,Southern California,,1,7,7,10,9,8,7
121,1,24,0,Law,5,Southern California,,1,7,7,10,9,8,7
122,1,25,0,Law,5,Southern California,,1,7,7,10,9,8,7
123,1,23,0,Law,5,Southern California,,1,7,7,10,9,8,7
124,1,21,0,Law,5,Southern California,,1,7,7,10,9,8,7
125,1,23,0,Law,5,Southern California,,1,7,7,10,9,8,7
126,1,22,0,Law,5,Southern California,,1,7,7,10,9,8,7
127,1,25,1,Law,5,Southern California,,1,7,7,10,9,8,7
128,1,26,1,Law,5,Southern California,,1,7,7,10,9,8,7
129,1,26,1,Law,5,Southern California,,1,7,7,10,9,8,7
130,1,21,1,Law,1,"Cincinnati, Ohio","56,580.00",1,10,8,3,8,6,8
131,1,24,1,Law,1,"Cincinnati, Ohio","56,580.00",1,10,8,3,8,6,8
132,1,25,0,Law,1,"Cincinnati, Ohio","56,580.00",1,10,8,3,8,6,8
133,1,23,1,Law,1,"Cincinnati, Ohio","56,580.00",1,10,8,3,8,6,8
134,1,21,1,Law,1,"Cincinnati, Ohio","56,580.00",1,10,8,3,8,6,8
135,1,23,1,Law,1,"Cincinnati, Ohio","56,580.00",1,10,8,3,8,6,8
136,1,22,1,Law,1,"Cincinnati, Ohio","56,580.00",1,10,8,3,8,6,8
137,1,25,1,Law,1,"Cincinnati, Ohio","56,580.00",1,10,8,3,8,6,8
138,1,26,1,Law,1,"Cincinnati, Ohio","56,580.00",1,10,8,3,8,6,8
139,1,26,0,Law,1,"Cincinnati, Ohio","56,580.00",1,10,8,3,8,6,8
140,1,21,1,Law,1,Miami,"36,782.00",1,9,7,9,7,2,9
141,1,24,0,Law,1,Miami,"36,782.00",1,9,7,9,7,2,9
142,1,25,0,Law,1,Miami,"36,782.00",1,9,7,9,7,2,9
143,1,23,0,Law,1,Miami,"36,782.00",1,9,7,9,7,2,9
144,1,21,0,Law,1,Miami,"36,782.00",1,9,7,9,7,2,9
145,1,23,0,Law,1,Miami,"36,782.00",1,9,7,9,7,2,9
146,1,22,0,Law,1,Miami,"36,782.00",1,9,7,9,7,2,9
147,1,25,1,Law,1,Miami,"36,782.00",1,9,7,9,7,2,9
148,1,26,1,Law,1,Miami,"36,782.00",1,9,7,9,7,2,9
149,1,26,0,Law,1,Miami,"36,782.00",1,9,7,9,7,2,9
150,1,21,0,Business,2,Milan - Italy,,1,7,5,7,8,6,5
151,1,24,0,Business,2,Milan - Italy,,1,7,5,7,8,6,5
152,1,25,0,Business,2,Milan - Italy,,1,7,5,7,8,6,5
153,1,23,0,Business,2,Milan - Italy,,1,7,5,7,8,6,5
154,1,21,1,Business,2,Milan - Italy,,1,7,5,7,8,6,5
155,1,23,0,Business,2,Milan - Italy,,1,7,5,7,8,6,5
156,1,22,0,Business,2,Milan - Italy,,1,7,5,7,8,6,5
157,1,25,1,Business,2,Milan - Italy,,1,7,5,7,8,6,5
158,1,26,1,Business,2,Milan - Italy,,1,7,5,7,8,6,5
159,1,26,0,Business,2,Milan - Italy,,1,7,5,7,8,6,5
160,1,21,1,political science,1,"Georgia, USA","38,548.00",2,8,2,7,7,2,6
161,1,24,1,political science,1,"Georgia, USA","38,548.00",2,8,2,7,7,2,6
162,1,25,0,political science,1,"Georgia, USA","38,548.00",2,8,2,7,7,2,6
163,1,23,0,political science,1,"Georgia, USA","38,548.00",2,8,2,7,7,2,6
164,1,21,1,political science,1,"Georgia, USA","38,548.00",2,8,2,7,7,2,6
165,1,23,1,political science,1,"Georgia, USA","38,548.00",2,8,2,7,7,2,6
166,1,22,1,political science,1,"Georgia, USA","38,548.00",2,8,2,7,7,2,6
167,1,25,1,political science,1,"Georgia, USA","38,548.00",2,8,2,7,7,2,6
168,1,26,1,political science,1,"Georgia, USA","38,548.00",2,8,2,7,7,2,6
169,1,26,1,political science,1,"Georgia, USA","38,548.00",2,8,2,7,7,2,6
170,1,21,0,Business,8,New York,"52,010.00",1,5,4,3,6,2,2
171,1,24,0,Business,8,New York,"52,010.00",1,5,4,3,6,2,2
172,1,25,0,Business,8,New York,"52,010.00",1,5,4,3,6,2,2
173,1,23,0,Business,8,New York,"52,010.00",1,5,4,3,6,2,2
174,1,21,1,Business,8,New York,"52,010.00",1,5,4,3,6,2,2
175,1,23,0,Business,8,New York,"52,010.00",1,5,4,3,6,2,2
176,1,22,0,Business,8,New York,"52,010.00",1,5,4,3,6,2,2
177,1,25,1,Business,8,New York,"52,010.00",1,5,4,3,6,2,2
178,1,26,1,Business,8,New York,"52,010.00",1,5,4,3,6,2,2
179,1,26,0,Business,8,New York,"52,010.00",1,5,4,3,6,2,2
180,1,21,1,money,1,california,,1,10,7,1,7,7,9
181,1,24,1,money,1,california,,1,10,7,1,7,7,9
182,1,25,0,money,1,california,,1,10,7,1,7,7,9
183,1,23,1,money,1,california,,1,10,7,1,7,7,9
184,1,21,1,money,1,california,,1,10,7,1,7,7,9
185,1,23,1,money,1,california,,1,10,7,1,7,7,9
186,1,22,1,money,1,california,,1,10,7,1,7,7,9
187,1,25,1,money,1,california,,1,10,7,1,7,7,9
188,1,26,1,money,1,california,,1,10,7,1,7,7,9
189,1,26,1,money,1,california,,1,10,7,1,7,7,9
190,1,21,1,Finance,1,Washington DC,,1,10,10,8,6,5,10
191,1,24,1,Finance,1,Washington DC,,1,10,10,8,6,5,10
192,1,25,0,Finance,1,Washington DC,,1,10,10,8,6,5,10
193,1,23,1,Finance,1,Washington DC,,1,10,10,8,6,5,10
194,1,21,1,Finance,1,Washington DC,,1,10,10,8,6,5,10
195,1,23,1,Finance,1,Washington DC,,1,10,10,8,6,5,10
196,1,22,1,Finance,1,Washington DC,,1,10,10,8,6,5,10
197,1,25,1,Finance,1,Washington DC,,1,10,10,8,6,5,10
198,1,26,1,Finance,1,Washington DC,,1,10,10,8,6,5,10
199,1,26,1,Finance,1,Washington DC,,1,10,10,8,6,5,10
200,0,25,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
201,0,30,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
202,0,23,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
203,0,24,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
204,0,24,1,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
205,0,28,1,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
206,0,26,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
207,0,30,1,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
208,0,22,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
209,0,25,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
210,0,27,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
211,0,23,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
212,0,21,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
213,0,28,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
214,0,28,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
215,0,23,0,Operations Research,10,New Jersey,,4,10,1,4,8,5,3
216,0,25,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
217,0,30,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
218,0,23,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
219,0,24,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
220,0,24,1,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
221,0,28,1,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
222,0,26,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
223,0,30,1,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
224,0,22,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
225,0,25,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
226,0,27,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
227,0,23,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
228,0,21,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
229,0,28,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
230,0,28,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
231,0,23,0,TC (Health Ed),2,"Ann Arbor, MI","28,418.00",2,1,2,8,7,8,6
232,0,25,0,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
233,0,30,0,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
234,0,23,0,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
235,0,24,1,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
236,0,24,1,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
237,0,28,1,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
238,0,26,0,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
239,0,30,1,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
240,0,22,0,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
241,0,25,0,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
242,0,27,0,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
243,0,23,0,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
244,0,21,0,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
245,0,28,1,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
246,0,28,1,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
247,0,23,0,Psychology,6,Hong Kong,,1,2,7,10,10,10,7
248,0,25,0,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
249,0,30,0,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
250,0,23,0,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
251,0,24,0,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
252,0,24,1,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
253,0,28,1,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
254,0,26,0,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
255,0,30,1,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
256,0,22,0,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
257,0,25,1,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
258,0,27,1,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
259,0,23,1,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
260,0,21,0,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
261,0,28,0,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
262,0,28,1,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
263,0,23,1,social work,3,new york,"43,185.00",4,10,6,6,8,6,3
264,0,25,0,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
265,0,30,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
266,0,23,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
267,0,24,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
268,0,24,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
269,0,28,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
270,0,26,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
271,0,30,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
272,0,22,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
273,0,25,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
274,0,27,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
275,0,23,0,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
276,0,21,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
277,0,28,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
278,0,28,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
279,0,23,1,Social Work,2,Iowa,"23,152.00",2,7,6,7,8,8,8
280,0,25,0,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
281,0,30,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
282,0,23,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
283,0,24,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
284,0,24,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
285,0,28,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
286,0,26,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
287,0,30,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
288,0,22,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
289,0,25,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
290,0,27,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
291,0,23,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
292,0,21,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
293,0,28,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
294,0,28,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
295,0,23,1,Social Work,4,California,"43,664.00",2,9,5,9,4,5,7
296,0,25,0,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
297,0,30,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
298,0,23,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
299,0,24,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
300,0,24,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
301,0,28,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
302,0,26,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
303,0,30,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
304,0,22,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
305,0,25,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
306,0,27,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
307,0,23,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
308,0,21,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
309,0,28,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
310,0,28,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
311,0,23,1,Speech Language Pathology,5,"Westchester, NY","48,441.00",2,7,7,5,7,7,8
312,0,25,0,Speech Languahe Pathology,,,,,,,,,,
313,0,30,1,Speech Languahe Pathology,,,,,,,,,,
314,0,23,1,Speech Languahe Pathology,,,,,,,,,,
315,0,24,0,Speech Languahe Pathology,,,,,,,,,,
316,0,24,1,Speech Languahe Pathology,,,,,,,,,,
317,0,28,1,Speech Languahe Pathology,,,,,,,,,,
318,0,26,1,Speech Languahe Pathology,,,,,,,,,,
319,0,30,1,Speech Languahe Pathology,,,,,,,,,,
320,0,22,0,Speech Languahe Pathology,,,,,,,,,,
321,0,25,1,Speech Languahe Pathology,,,,,,,,,,
322,0,27,0,Speech Languahe Pathology,,,,,,,,,,
323,0,23,0,Speech Languahe Pathology,,,,,,,,,,
324,0,21,0,Speech Languahe Pathology,,,,,,,,,,
325,0,28,0,Speech Languahe Pathology,,,,,,,,,,
326,0,28,0,Speech Languahe Pathology,,,,,,,,,,
327,0,23,1,Speech Languahe Pathology,,,,,,,,,,
328,0,25,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
329,0,30,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
330,0,23,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
331,0,24,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
332,0,24,1,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
333,0,28,1,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
334,0,26,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
335,0,30,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
336,0,22,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
337,0,25,1,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
338,0,27,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
339,0,23,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
340,0,21,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
341,0,28,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
342,0,28,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
343,0,23,0,Social Work,5,"Washington, DC","61,152.00",1,8,2,5,8,9,7
344,0,25,0,Law,4,Boston,,2,5,1,7,9,6,7
345,0,30,0,Law,4,Boston,,2,5,1,7,9,6,7
346,0,23,0,Law,4,Boston,,2,5,1,7,9,6,7
347,0,24,0,Law,4,Boston,,2,5,1,7,9,6,7
348,0,24,1,Law,4,Boston,,2,5,1,7,9,6,7
349,0,28,1,Law,4,Boston,,2,5,1,7,9,6,7
350,0,26,0,Law,4,Boston,,2,5,1,7,9,6,7
351,0,30,0,Law,4,Boston,,2,5,1,7,9,6,7
352,0,22,0,Law,4,Boston,,2,5,1,7,9,6,7
353,0,25,1,Law,4,Boston,,2,5,1,7,9,6,7
354,0,27,0,Law,4,Boston,,2,5,1,7,9,6,7
355,0,23,0,Law,4,Boston,,2,5,1,7,9,6,7
356,0,21,0,Law,4,Boston,,2,5,1,7,9,6,7
357,0,28,0,Law,4,Boston,,2,5,1,7,9,6,7
